power,samples,captures,r21_min,r21_p10,r21_median,r21_mean,r21_p90,r21_max,r26_values,r27_values
1,6,1,2,17.0,35.0,29.67,37.0,37,02,00
4,2,1,32,32.2,33.0,33.0,33.8,34,02,00
15,189,2,7,48.0,49,50.28,53.0,56,02,00/01
24,79,1,61,61.0,62,61.71,62.0,66,02,00/01
30,136,2,61,62.0,63.0,63.67,65.0,66,02,01
35,202,3,62,69.0,70.0,70.01,71.0,77,02,00/01
36,9,1,76,76.0,77,76.78,77.0,77,02,00
55,96,3,70,72.0,73.0,73.66,78.0,78,02,02
56,68,3,92,92.0,93.0,93.49,94.0,105,02,00/01
99,81,3,131,133.0,141,138.74,145.0,146,02,00/01/02
